numLine,bm,nw,ns,tbe,lock,nParal,nc,nword,cycles,nHit,nMiss,nLoadInst,nInst,cpuReq,mmReqs
10000,axpy,4,128,8,8,1,2,8,135128,525,527,1052,2105,1578,527
10000,axpy,4,128,8,8,1,2,16,76619,788,264,1052,1842,1578,264
10000,axpy,4,128,8,8,1,2,32,47249,920,132,1052,1710,1578,132
10000,axpy,4,128,16,8,1,2,8,135130,525,527,1052,2105,1578,527
10000,axpy,4,128,16,8,1,2,16,76616,788,264,1052,1842,1578,264
10000,axpy,4,128,16,8,1,2,32,47248,920,132,1052,1710,1578,132
10000,axpy,4,128,32,8,1,2,8,135129,525,527,1052,2105,1578,527
10000,axpy,4,128,32,8,1,2,16,76616,788,264,1052,1842,1578,264
10000,axpy,4,128,32,8,1,2,32,47246,920,132,1052,1710,1578,132
10000,axpy,4,128,8,8,2,2,8,134604,525,527,1052,2105,1578,527
10000,axpy,4,128,8,8,2,2,16,75830,788,264,1052,1842,1578,264
10000,axpy,4,128,8,8,2,2,32,46328,920,132,1052,1710,1578,132
10000,axpy,4,128,16,8,2,2,8,134602,525,527,1052,2105,1578,527
10000,axpy,4,128,16,8,2,2,16,75829,788,264,1052,1842,1578,264
10000,axpy,4,128,16,8,2,2,32,46326,920,132,1052,1710,1578,132
10000,axpy,4,128,32,8,2,2,8,134602,525,527,1052,2105,1578,527
10000,axpy,4,128,32,8,2,2,16,75828,788,264,1052,1842,1578,264
10000,axpy,4,128,32,8,2,2,32,46326,920,132,1052,1710,1578,132
10000,axpy,4,128,8,8,4,2,8,134604,525,527,1052,2105,1578,527
10000,axpy,4,128,8,8,4,2,16,75828,788,264,1052,1842,1578,264
10000,axpy,4,128,8,8,4,2,32,46326,920,132,1052,1710,1578,132
10000,axpy,4,128,16,8,4,2,8,134604,525,527,1052,2105,1578,527
10000,axpy,4,128,16,8,4,2,16,75832,788,264,1052,1842,1578,264
10000,axpy,4,128,16,8,4,2,32,46326,920,132,1052,1710,1578,132
10000,axpy,4,128,32,8,4,2,8,134605,525,527,1052,2105,1578,527
10000,axpy,4,128,32,8,4,2,16,75830,788,264,1052,1842,1578,264
10000,axpy,4,128,32,8,4,2,32,46329,920,132,1052,1710,1578,132
10000,axpy,4,128,8,8,8,2,8,134605,525,527,1052,2105,1578,527
10000,axpy,4,128,8,8,8,2,16,75831,788,264,1052,1842,1578,264
10000,axpy,4,128,8,8,8,2,32,46328,920,132,1052,1710,1578,132
10000,axpy,4,128,16,8,8,2,8,134604,525,527,1052,2105,1578,527
10000,axpy,4,128,16,8,8,2,16,75831,788,264,1052,1842,1578,264
10000,axpy,4,128,16,8,8,2,32,46326,920,132,1052,1710,1578,132
10000,axpy,4,128,32,8,8,2,8,134603,525,527,1052,2105,1578,527
10000,axpy,4,128,32,8,8,2,16,75830,788,264,1052,1842,1578,264
10000,axpy,4,128,32,8,8,2,32,46326,920,132,1052,1710,1578,132
10000,axpy,8,128,8,8,1,2,8,135129,525,527,1052,2105,1578,527
10000,axpy,8,128,8,8,1,2,16,76618,788,264,1052,1842,1578,264
10000,axpy,8,128,8,8,1,2,32,47247,920,132,1052,1710,1578,132
10000,axpy,8,128,16,8,1,2,8,135131,525,527,1052,2105,1578,527
10000,axpy,8,128,16,8,1,2,16,76619,788,264,1052,1842,1578,264
10000,axpy,8,128,16,8,1,2,32,47249,920,132,1052,1710,1578,132
10000,axpy,8,128,32,8,1,2,8,135130,525,527,1052,2105,1578,527
10000,axpy,8,128,32,8,1,2,16,76619,788,264,1052,1842,1578,264
10000,axpy,8,128,32,8,1,2,32,47249,920,132,1052,1710,1578,132
10000,axpy,8,128,8,8,2,2,8,134605,525,527,1052,2105,1578,527
10000,axpy,8,128,8,8,2,2,16,75829,788,264,1052,1842,1578,264
10000,axpy,8,128,8,8,2,2,32,46328,920,132,1052,1710,1578,132
10000,axpy,8,128,16,8,2,2,8,134604,525,527,1052,2105,1578,527
10000,axpy,8,128,16,8,2,2,16,75828,788,264,1052,1842,1578,264
10000,axpy,8,128,16,8,2,2,32,46328,920,132,1052,1710,1578,132
10000,axpy,8,128,32,8,2,2,8,134605,525,527,1052,2105,1578,527
10000,axpy,8,128,32,8,2,2,16,75828,788,264,1052,1842,1578,264
10000,axpy,8,128,32,8,2,2,32,46328,920,132,1052,1710,1578,132
10000,axpy,8,128,8,8,4,2,8,134604,525,527,1052,2105,1578,527
10000,axpy,8,128,8,8,4,2,16,75828,788,264,1052,1842,1578,264
10000,axpy,8,128,8,8,4,2,32,46328,920,132,1052,1710,1578,132
10000,axpy,8,128,16,8,4,2,8,134605,525,527,1052,2105,1578,527
10000,axpy,8,128,16,8,4,2,16,75828,788,264,1052,1842,1578,264
10000,axpy,8,128,16,8,4,2,32,46328,920,132,1052,1710,1578,132
10000,axpy,8,128,32,8,4,2,8,134604,525,527,1052,2105,1578,527
10000,axpy,8,128,32,8,4,2,16,75828,788,264,1052,1842,1578,264
10000,axpy,8,128,32,8,4,2,32,46329,920,132,1052,1710,1578,132
10000,axpy,8,128,8,8,8,2,8,134604,525,527,1052,2105,1578,527
10000,axpy,4,128,8,8,2,1,8,134076,525,527,1052,2105,1578,527
10000,axpy,4,128,8,8,2,1,16,75566,788,264,1052,1842,1578,264
10000,axpy,4,128,8,8,2,1,32,46196,920,132,1052,1710,1578,132
10000,axpy,4,128,16,8,2,1,8,134077,525,527,1052,2105,1578,527
10000,axpy,4,128,16,8,2,1,16,75568,788,264,1052,1842,1578,264
10000,axpy,4,128,16,8,2,1,32,46195,920,132,1052,1710,1578,132
10000,axpy,4,128,32,8,2,1,8,134079,525,527,1052,2105,1578,527
10000,axpy,4,128,32,8,2,1,16,75567,788,264,1052,1842,1578,264
10000,axpy,4,128,32,8,2,1,32,46196,920,132,1052,1710,1578,132
10000,axpy,4,128,8,8,4,1,8,134077,525,527,1052,2105,1578,527
10000,axpy,4,128,8,8,4,1,16,75565,788,264,1052,1842,1578,264
10000,axpy,4,128,8,8,4,1,32,46198,920,132,1052,1710,1578,132
10000,axpy,4,128,16,8,4,1,8,134077,525,527,1052,2105,1578,527
10000,axpy,4,128,16,8,4,1,16,75568,788,264,1052,1842,1578,264
10000,axpy,4,128,16,8,4,1,32,46197,920,132,1052,1710,1578,132
10000,axpy,4,128,32,8,4,1,8,134078,525,527,1052,2105,1578,527
10000,axpy,4,128,32,8,4,1,16,75568,788,264,1052,1842,1578,264
10000,axpy,4,128,32,8,4,1,32,46196,920,132,1052,1710,1578,132
10000,axpy,4,128,8,8,8,1,8,134079,525,527,1052,2105,1578,527
10000,axpy,4,128,8,8,8,1,16,75567,788,264,1052,1842,1578,264
10000,axpy,4,128,8,8,8,1,32,46197,920,132,1052,1710,1578,132
10000,axpy,4,128,16,8,8,1,8,134076,525,527,1052,2105,1578,527
10000,axpy,4,128,16,8,8,1,16,75567,788,264,1052,1842,1578,264
100000,axpy,4,128,8,8,2,1,8, ,5261,5263,10524,21049,15786,5263
100000,axpy,4,128,8,8,2,1,16,753997,7892,2632,10524,18418,15786,2632
100000,axpy,4,128,8,8,2,1,32,461187,9208,1316,10524,17102,15786,1316
100000,axpy,4,128,16,8,2,1,8,1339390,5261,5263,10524,21049,15786,5263
100000,axpy,4,128,16,8,2,1,16,754001,7892,2632,10524,18418,15786,2632
